name_of_sight,location,category,description,likes_count,location_url
Megan Fowler Bridge,Abuja,Building,,38,https://hotels.ng/places/building/10-megan-fowler-bridge
The Chad Basin National Park,Abuja,Resort,"About Chad Basin National Park   The Chad Basin National Park is a conservation centre, one of the most popular national parks in Nigeria. It is located in the northeastern part of Nigeria between Borno state and Yobe state. Famous among the farmers, fishermen and herdsmen in the area, the Chad Basin national park spans a total area of 2,258km&sup2;. It is a combination of the following reserves: the Chingurmi-Dugoma Game Reserve, Gorgoram and Zurgun Baneri Forest Reserves, and Bulature Oasis.  Some of the animals seen in Chad Basin National Park include; the resident black-crowned crane (Balearica pavonina) which is plentiful but is considered vulnerable, rare desert wildlife like red-fronted gazelle, ostrich, giraffes and many other species of mammals. The helmeted guineafowl (Numida meleagris) is also plentiful. Demoiselle cranes (Grus virgo) visit in the winter, as well as large numbers of white storks (Ciconia ciconia).   Safety  This is a very safe location but guests are advised not to feed the animals alone.  Things to Do/What to Bring  Enjoy the tropical sun and the spectacular view of the animals moving about freely in the park. Cameras and a picnic set can be taken along to the park.  Best features  A show of the variety of wildlife that makes for spectacular viewing.  Most Common Visitors  Tourists, Fun seekers, Nature enthusiasts, researchers.  Why You Should Visit  Its closeness to nature, the cosy ambience and for your relaxation.  &nbsp;",133,https://hotels.ng/places/resort/11-the-chad-basin-national-park
Yankari National Park,Bauchi,Game reserve,"ABOUT   Yankari National Park is a large wildlife park located in the south-central part of Bauchi State, in northeastern Nigeria. It covers an area of about 2,244 square kilometres (866 sq mi) and is home to several natural warm water springs, as well as a wide variety of flora and fauna. Its location in the heartland of the West African savanna makes a unique way for tourists and holidaymakers to watch wildlife in its natural habitat.  Yankari was originally created as a game reserve in 1956 but was later designated as Nigeria's biggest national park in 1991. It is the most popular destination for tourists in Nigeria and, as such, plays a crucial role in the development and promotion of tourism and ecotourism in Nigeria. It is also one of the most popular eco-destinations in West Africa.  Yankari National Park is an important refuge for over 50 mammal species including African bush elephant, olive baboon, patas monkey, Tantalus monkey, roan antelope, western hartebeest, West African lion, African buffalo, waterbuck, bushbuck and hippopotamus. The lion population is on the verge of extinction.   SERVICES   Although the national forest is not properly managed, there are some things you get to do when you visit Yankari National Park. This national treasure is known for game viewing, its wikki spring (man-made spring), natural warm springs and museum tours.   BEST FEATURES   Yankari National park has a beautiful environment full of all kinds of animals around the forest. You get to see natural warm springs, beautiful trees and beautifully constructed huts.   BEST TIME TO VISIT   Yankari National park can be visited at any time of the year. It is best to go there during the day.   WHO CAN VISIT   Yankari National park can be visited by Tourists, Historians and wildlife &amp; nature lovers.     SAFETY   Yankari National park is not safe at night as there are no security agents around the forest and one needs to be extremely careful.",46,https://hotels.ng/places/game-reserve/16-yankari-national-park
Aso Rock,China,Monument,"ABOUT    Aso Rock is a large outcrop of granitic rock located on the outskirts of Abuja, the capital of Nigeria. The Aso Rock is a 400-metre (1,300 ft) prominent monolith with a peak height of 936-metre (3,071 ft) above sea level. It is one of the city's most noticeable features. The Nigerian Presidential Complex, Nigerian National Assembly, and Nigerian Supreme Court are located around it. Much of the city extends to the south of the rock. ""Aso"" means victorious in the native language of the Asokoro (""the people of victory"") ethnic group.    Aso Rock was the site of the 2003 Aso Rock Declaration, issued by Heads of Government of the Commonwealth during the CHOGM held in Abuja. It reaffirmed the Commonwealth's principles as detailed under the Harare Declaration but set the 'promotion of democracy and development' as the organisation's priorities.   &nbsp;   SERVICES    You can attend an official function or ceremony at Aso Rock, Abuja. You can also go sightseeing.   &nbsp;   BEST FEATURES    Aso Rock, Abuja has a cool beautiful environment and security is taken very seriously as well   &nbsp;   BEST TIME TO VISIT    The official time to visit Aso Rock, Abuja is from Monday to Friday (8 am - 4 pm) and any other time fixed by President    WHO CAN VISIT    Common visitors include government officials and authorized personnel   &nbsp;   SAFETY    Aso Rock, Abuja is a very safe place to Visit",0,https://hotels.ng/places/monument/18-aso-rock
Ikogosi Warm Springs,Ekiti,Resort,"About Ikogosi Warm Springs  'You are hot, and you are cold.' Lyrics? No. The Ikogosi warm springs has two streams (hot and cold) flowing side by side, each meeting at a confluence that keeps its thermal properties and then flows out as a warm spring. With its lush vegetations and resorts, it has become a prime tourist destination. Researches indicate that the warm spring has a temperature of 70 degrees celsius at its origin and 37 degrees celsius at its confluence.  History of Ikogosi Warm Springs  Ikogosi Warm Springs was discovered in 1952. It is notable as a prime tourist destination consisting of two side by side springs (warm and cold).  Safety  This is a very safe location.  Things to Do/What to Bring  Relax and be amused by the wonders of nature. Visitors can go along with a keg to the resort to fetch the warm water for adventure sake. The natives believe in its efficacy as an elixir of skin ailment, aches, infertility, arthritis and hypertension.  Best Features  The hot and cold springs flow side by side and meet at a confluence.  Most Common Visitors  The most common visitors are tourists.  Why You Should Visit  To enjoy nature and fetch water from the warm spring.  Weather at Ikogosi Warm Spring  Ikogosi Warm Spring is located at Ekiti which is in the South-West region of the country. This region experiences two seasons which are the rainy and dry seasons. The rainy season comes within May, June and July. While the dry season usually comes between October till April.",2,https://hotels.ng/places/resort/19-ikogosi-warm-springs
Agbokim Waterfalls,Cross River,Waterfall,"About Agbokim Waterfalls  Agbokim waterfall is a seven faced wonder consisting of seven streams cascading over steep cliffs, with its lush vegetation and picturesque scenery, it is ideal for picnics, bird watching and meditation. Agbokim Waterfalls is surrounded by lush greenery, valleys and steep hills which are enveloped in a rainbow-like aura. Its freshness is captivating and has an alluring serenity. It is the ideal location for a vacation to get back into nature and regain your creative productivity and general well being.  Security/Safety of Agbokim Waterfalls  This is a very safe location.  What To Bring  Before heading to Agbokim Waterfalls, here are some helpful things to take along with you:   shorts  Camera   Things to do while at Agbokim Waterfalls  Before heading to Agbokim Waterfalls, here are some helpful things to take along with you:   picnic  bird watching  observe nature",85,https://hotels.ng/places/waterfall/21-agbokim-waterfalls
Mambilla Plateau,Taraba,Resort,"About Mambilla Plateau  Mambilla Plateau.  Mambilla plateau is home to Nigeria and West Africa's only highland tea plantations. Located in the serene state of Taraba, the Mambilla plateau is a haven for mountain climbers, nature lovers, picnic lovers or adventure seekers. Its cool ambience and beautiful scenery serve to welcome interested visitors.  Security/Safety of Mambilla Plateau  This is a very safe location.  What To Bring  Before heading to Mambilla Plateau, here are some helpful things to take along with you:   climbing shoes  shorts  camping gear  first aid box   Things to do while at Mambilla Plateau  Here are things you can do at the Mambilla Plateau:   hiking  picnic  walk with nature",297,https://hotels.ng/places/resort/22-mambilla-plateau
Owu Waterfalls,Kwara,Waterfall,"About Owu Waterfalls  Owu Waterfalls was discovered in 1976 in Isin Local Government.  Owu waterfall is the highest and most spectacular natural waterfall in West Africa. With its Ambience, cool environs and lush tributes to nature, everyone is invited for a dip. The waterfall is 120 metres above water level and falls 330 feet down.  Security/Safety of Owu Waterfalls  This is a very safe location.  What To Bring  Before heading to Owu Waterfalls, here are some helpful things to take along with you:   Camera  Swimming gear   Things to do while at Owu Waterfalls  Here are some things to do at Owu Waterfalls:   Take a dip in the water.  Take pictures of the surroundings.   Most common visitors  Fun seekers, nature lovers",64,https://hotels.ng/places/waterfall/23-owu-waterfalls
La Campagne Tropicana Beach,Lagos,Beach,"About La Campagne Tropicana Beach  La Campagne Tropicana Beach.  Located away from the stress of Lagos, La Campagne Tropicana beach invites visitors to come enjoy the ambience of the Atlantic ocean or the relaxing waters of the fresh lake while unwinding from the stress of Lagos.  Security/Safety of La Campagne Tropicana Beach  This is a very safe location.  What To Bring  Before heading to La Campagne Tropicana Beach, here are some helpful things to take along with you:   swimming gear  slippers  shorts  picnic blanket and beach towels   Things to do while at La Campagne Tropicana Beach  A few things you can do at La Campagne Tropicana Beach:   quad biking  sunbathing  building sandcastles  Enjoying nature and relaxation",730,https://hotels.ng/places/beach/24-la-campagne-tropicana-beach
Ngwo Cave and Waterfall,Enugu,Waterfall,"About Ngwo Cave and Waterfall  Ngwo Cave and Waterfall.  Ngwo Cave and Waterfall is located at the Nkwo Pine forest in Enugu state. It is a natural attraction sculpted in limestone rocks and has its waterfall flowing from an opening in its roof. The fall forms a shallow pool at the cave floor and flows out as a small stream.  The sound of splashing water is what welcomes you to the Ngwo cave, the caves built of solid limestone has a small pool flowing out as a stream ideal for splashing and fishing. Everyone is welcome for a swim.  Security/Safety of Ngwo Cave and Waterfall  This is a very safe location.  What To Bring  Before heading to Ngwo Cave and Waterfall, here are some helpful things to take along with you:   shorts  slippers  climbing gear  camera   Things to do while at Ngwo Cave and Waterfall  Going to the Ngwo Cave and Waterfall? Here are some things you can do:   go in for a dip  Watch the waterfall  Look around the cave  Take pictures",40,https://hotels.ng/places/waterfall/25-ngwo-cave-and-waterfall
